GeneNames	knockout	wt	log2fc	log2(Fold_change) normalized	z-score	p-value	q-value	q-value(Storey et al. 2003)	Signature(p-value < 0.001)
XOO1695	41657	166	7.971231893	7.985467088	200.7824457	0	0	0	TRUE
XOO1713	41502	130	8.318525429	8.332760623	196.9016405	0	0	0	TRUE
XOO1712	38578	169	7.834611295	7.84884649	194.4617081	0	0	0	TRUE
XOO1710	24742	105	7.880428986	7.894664181	155.3827717	0	0	0	TRUE
XOO1694	20017	120	7.382047554	7.396282748	142.7472973	0	0	0	TRUE
XOO2204	906	12583	-3.795821066	-3.781585871	-107.7518797	0	0	0	TRUE
XOO2941	17272	3797	2.185503244	2.199738439	97.13667162	0	0	0	TRUE
XOO1691	8685	77	6.817523593	6.831758788	95.76604098	0	0	0	TRUE
XOO2581	408	8854	-4.439688316	-4.425453122	-94.58859624	0	0	0	TRUE
XOO1698	8209	90	6.511137676	6.52537287	93.77886896	0	0	0	TRUE
XOO1705	8587	36	7.898013475	7.91224867	91.44996416	0	0	0	TRUE
XOO2836	1137	10270	-3.175132022	-3.160896828	-90.60838069	0	0	0	TRUE
XOO1685	7494	93	6.332361451	6.346596646	89.88867717	0	0	0	TRUE
XOO2844	448	8018	-4.16167178	-4.147436585	-88.52104925	0	0	0	TRUE
XOO1469	362	6596	-4.187529796	-4.173294602	-80.42394853	0	0	0	TRUE
XOO1717	5670	52	6.768693302	6.782928496	77.47483373	0	0	0	TRUE
XOO1704	5392	36	7.22667978	7.240914974	74.49840926	0	0	0	TRUE
XOO1714	5593	23	7.925844659	7.940079854	73.70609526	0	0	0	TRUE
XOO3300	10266	2347	2.128984419	2.143219613	73.64839232	0	0	0	TRUE
XOO1604	16704	32294	-0.95107253	-0.936837335	-70.2116807	0	0	0	TRUE
XOO1701	9240	2153	2.101544532	2.115779727	69.30101451	0	0	0	TRUE
XOO1697	5645	10	9.140829771	9.155064965	69.16800846	0	0	0	TRUE
XOO3989	12454	3911	1.670999743	1.685234938	69.07269025	0	0	0	TRUE
XOO1683	4443	42	6.725001003	6.739236198	68.6565538	0	0	0	TRUE
XOO1689	3912	68	5.846227814	5.860463008	65.23850375	0	0	0	TRUE
XOO1699	4036	26	7.278270741	7.292505936	64.33408553	0	0	0	TRUE
XOO1703	3714	32	6.8587581	6.872993295	62.55015578	0	0	0	TRUE
XOO2582	411	4465	-3.441449876	-3.427214682	-61.83784416	0	0	0	TRUE
XOO2847	494	4646	-3.233406207	-3.219171013	-61.42607293	0	0	0	TRUE
XOO1784	9484	20033	-1.078810917	-1.064575723	-61.38062873	0	0	0	TRUE
XOO1687	3530	35	6.656169451	6.670404646	61.29821004	0	0	0	TRUE
XOO1805	11997	23502	-0.970109847	-0.955874653	-60.85597427	0	0	0	TRUE
XOO1161	5342	13299	-1.315865887	-1.301630693	-58.64154811	0	0	0	TRUE
XOO2842	270	3730	-3.788144318	-3.773909123	-58.60504373	0	0	0	TRUE
XOO1715	3190	19	7.391413195	7.40564839	56.95443496	0	0	0	TRUE
XOO4096	68442	49767	0.459692496	0.473927691	56.59062362	0	0	0	TRUE
XOO0748	832	4951	-2.573064516	-2.558829321	-56.51770339	0	0	0	TRUE
XOO1709	3129	19	7.36355843	7.377793624	56.4669766	0	0	0	TRUE
XOO1706	3083	20	7.268191079	7.282426274	56.24779429	0	0	0	TRUE
XOO2572	375	3719	-3.309952247	-3.295717053	-55.52015922	0	0	0	TRUE
XOO1700	2999	17	7.462802966	7.47703816	55.06974505	0	0	0	TRUE
XOO2558	160	3031	-4.243650042	-4.229414847	-54.70954491	0	0	0	TRUE
XOO1680	2761	89	4.955241742	4.969476936	54.23362836	0	0	0	TRUE
XOO4333	1668	6340	-1.926363552	-1.912128357	-53.46916772	0	0	0	TRUE
XOO2566	166	2923	-4.138194682	-4.123959488	-53.35252335	0	0	0	TRUE
XOO1746	2885	8416	-1.544563386	-1.530328191	-52.68859866	0	0	0	TRUE
XOO3196	3599	500	2.847596102	2.861831297	51.38405582	0	0	0	TRUE
XOO4334	1723	6151	-1.835898274	-1.82166308	-50.96723618	0	0	0	TRUE
XOO1468	125	2540	-4.344828497	-4.330593302	-50.38849848	0	0	0	TRUE
XOO4779	2313	24	6.59058705	6.604822245	49.69189785	0	0	0	TRUE
